Element,Rotation axis,GB type,Crystal type,Potential,Sigma,GB plane,Misorientation Angle (°),GB energy (J/m²),Free volume (nm)
Cu,[100],STGB,FCC,ADP,265,(0 -23 1),4.98,0.74,0.0145
Cu,[100],STGB,FCC,ADP,221,(0 -21 1),5.45,0.92,0.0164
Cu,[100],STGB,FCC,ADP,181,(0 -19 1),6.03,0.80,0.0148
Cu,[100],STGB,FCC,ADP,257,(0 -16 -1),7.15,0.78,0.0154
Cu,[100],STGB,FCC,ADP,113,(0 -15 1),7.63,0.90,0.0189
Cu,[100],STGB,FCC,ADP,197,(0 -14 -1),8.17,0.87,0.0176
Cu,[100],STGB,FCC,ADP,85,(0 -13 1),8.8,0.91,0.0188
Cu,[100],STGB,FCC,ADP,61,(0 -11 1),10.39,0.99,0.0215
Cu,[100],STGB,FCC,ADP,37,(0 -6 -1),18.925,1.11,0.0271
Cu,[100],STGB,FCC,ADP,13,(0 -5 1),22.62,1.15,0.0288
Cu,[100],STGB,FCC,ADP,17,(0 -4 -1),28.072,1.06,0.0292
Cu,[100],STGB,FCC,ADP,5,(0 1 3),36.87,1.00,0.0313
Cu,[100],STGB,FCC,ADP,29,(0 -2 5),43.603,1.16,0.0271
Cu,[100],STGB,FCC,ADP,29,(0 -3 7),46.4,1.18,0.0296
Cu,[100],STGB,FCC,ADP,5,(0 1 2),53.13,1.06,0.0263
Cu,[100],STGB,FCC,ADP,17,(0 -5 -3),61.928,1.10,0.0256
Cu,[100],STGB,FCC,ADP,13,(0 -3 2),67.38,0.91,0.0212
Cu,[100],STGB,FCC,ADP,37,(0 -7 -5),71.075,1.02,0.0217
Cu,[100],STGB,FCC,ADP,25,(0 -4 3),73.74,0.85,0.0206
Cu,[100],STGB,FCC,ADP,41,(0 -5 4),77.32,0.81,0.0151
Cu,[100],STGB,FCC,ADP,61,(0 -6 5),79.611,1.11,0.0199
Cu,[100],STGB,FCC,EAM,265,(0 -23 1),4.98,0.84,0.0163
Cu,[100],STGB,FCC,EAM,221,(0 -21 1),5.45,0.76,0.0144
Cu,[100],STGB,FCC,EAM,181,(0 -19 1),6.03,0.84,0.0157
Cu,[100],STGB,FCC,EAM,257,(0 -16 -1),7.15,0.88,0.0169
Cu,[100],STGB,FCC,EAM,113,(0 -15 1),7.63,0.87,0.0185
Cu,[100],STGB,FCC,EAM,197,(0 -14 -1),8.17,0.80,0.0167
Cu,[100],STGB,FCC,EAM,85,(0 -13 1),8.8,0.89,0.0194
Cu,[100],STGB,FCC,EAM,61,(0 -11 1),10.39,1.02,0.0225
Cu,[100],STGB,FCC,EAM,41,(0 -9 1),12.68,0.99,0.0221
Cu,[100],STGB,FCC,EAM,25,(0 -7 1),16.26,1.11,0.0264
Cu,[100],STGB,FCC,EAM,37,(0 -6 -1),18.925,1.11,0.0268
Cu,[100],STGB,FCC,EAM,13,(0 -5 1),22.62,1.15,0.0283
Cu,[100],STGB,FCC,EAM,17,(0 -4 -1),28.072,1.05,0.0294
Cu,[100],STGB,FCC,EAM,5,(0 1 3),36.87,1.00,0.0291
Cu,[100],STGB,FCC,EAM,29,(0 -2 5),43.603,1.16,0.0277
Cu,[100],STGB,FCC,EAM,29,(0 -3 7),46.4,1.18,0.0292
Cu,[100],STGB,FCC,EAM,5,(0 1 2),53.13,1.06,0.0267
Cu,[100],STGB,FCC,EAM,17,(0 -5 -3),61.928,1.10,0.0254
Cu,[100],STGB,FCC,EAM,13,(0 -3 2),67.38,0.91,0.0206
Cu,[100],STGB,FCC,EAM,37,(0 -7 -5),71.075,1.02,0.0215
Cu,[100],STGB,FCC,EAM,25,(0 -4 3),73.74,0.84,0.0206
Cu,[100],STGB,FCC,EAM,41,(0 -5 4),77.32,0.81,0.0158
Cu,[100],STGB,FCC,EAM,61,(0 -6 5),79.611,1.11,0.0157
Cu,[100],STGB,FCC,GRACE,265,(0 -23 1),4.98,0.49,0.0116
Cu,[100],STGB,FCC,GRACE,221,(0 -21 1),5.45,0.52,0.0126
Cu,[100],STGB,FCC,GRACE,181,(0 -19 1),6.03,0.55,0.0136
Cu,[100],STGB,FCC,GRACE,257,(0 -16 -1),7.15,0.61,0.0156
Cu,[100],STGB,FCC,GRACE,113,(0 -15 1),7.63,0.62,0.0158
Cu,[100],STGB,FCC,GRACE,197,(0 -14 -1),8.17,0.67,0.0173
Cu,[100],STGB,FCC,GRACE,85,(0 -13 1),8.8,0.68,0.0177
Cu,[100],STGB,FCC,GRACE,61,(0 -11 1),10.39,0.74,0.0198
Cu,[100],STGB,FCC,GRACE,41,(0 -9 1),12.68,0.81,0.0229
Cu,[100],STGB,FCC,GRACE,25,(0 -7 1),16.26,0.90,0.0267
Cu,[100],STGB,FCC,GRACE,37,(0 -6 -1),18.92,0.95,0.0298
Cu,[100],STGB,FCC,GRACE,13,(0 -5 1),22.62,0.97,0.0320
Cu,[100],STGB,FCC,GRACE,17,(0 -4 -1),28.07,0.98,0.0304
Cu,[100],STGB,FCC,GRACE,5,(0 1 3),36.87,0.89,0.0317
Cu,[100],STGB,FCC,GRACE,29,(0 -2 5),43.6,0.97,0.0339
Cu,[100],STGB,FCC,GRACE,29,(0 -3 7),46.4,0.99,0.0344
Cu,[100],STGB,FCC,GRACE,5,(0 1 2),53.13,0.92,0.0343
Cu,[100],STGB,FCC,GRACE,17,(0 -5 -3),61.93,0.89,0.0294
Cu,[100],STGB,FCC,GRACE,13,(0 -3 2),67.38,0.77,0.0250
Cu,[100],STGB,FCC,GRACE,37,(0 -7 -5),71.08,1.00,0.0308
